路線,路線名稱,站序,中文站點名稱,經度,緯度,去回,英文站點名稱
303,港區藝術中心-新民高中,12,鹿峰里,120.570745,24.25885,去程,Lufeng Village
303,港區藝術中心-新民高中,13,勞工育樂中心,120.56993,24.25755,去程,Laborers Recreation Center
303,港區藝術中心-新民高中,14,中峰,120.568728,24.255377,去程,Zhongfeng
303,港區藝術中心-新民高中,15,中山長春路口,120.567862,24.253704,去程,Zhongshan-Changchun Intersection
303,港區藝術中心-新民高中,16,鹿寮,120.56664,24.2515,去程,Luliao
303,港區藝術中心-新民高中,17,鹿寮成衣商圈,120.564843,24.248898,去程,Luliao Clothes Shopping District
303,港區藝術中心-新民高中,18,家扶中心,120.56257,24.24659,去程,Family Center
303,港區藝術中心-新民高中,19,鹿寮國中(光大路),120.565175,24.243952,去程,Luliao J.H.S. (Guangda Rd. )
303,港區藝術中心-新民高中,20,光華成功東街口,120.565,24.2414,去程,Guanghua-Chenggong E. Intersection
303,港區藝術中心-新民高中,21,沙鹿高工(臺灣大道),120.565349,24.239265,去程,Sha-Lu Ind. Voc. H.S.(Taiwan Boulevard)
303,港區藝術中心-新民高中,22,竹林國小,120.5678594,24.23838512,去程,Chu-Lin El. School
303,港區藝術中心-新民高中,23,竹林里,120.5699515,24.23638936,去程,Chulin Village
303,港區藝術中心-新民高中,24,紅竹巷,120.5719256,24.23330762,去程,Hongzhu Ln.
303,港區藝術中心-新民高中,25,臺灣大道北勢路口,120.5739641,24.2301084,去程,Taiwan Boulevard-Beishi Rd. Intersection
303,港區藝術中心-新民高中,26,靜宜大學,120.5767429,24.22576437,去程,Providence University
303,港區藝術中心-新民高中,27,晉江寮,120.579107,24.221884,去程,Jinjiangliao
303,港區藝術中心-新民高中,28,弘光科技大學,120.580384,24.217273,去程,Hungkuang University
303,港區藝術中心-新民高中,29,正英路,120.581296,24.209876,去程,Zhengying Rd.
303,港區藝術中心-新民高中,30,坪頂,120.585339,24.18617,去程,Pingding
303,港區藝術中心-新民高中,31,東海別墅,120.593501,24.1827,去程,Donghai Villa
303,港區藝術中心-新民高中,32,榮總/東海大學,120.603586,24.182891,去程,Taichung Veterans General Hospital/Tunghai Uni.
303,港區藝術中心-新民高中,33,玉門路,120.610319,24.18442,去程,Yumen Rd.
303,港區藝術中心-新民高中,34,澄清醫院,120.617198,24.182043,去程,Cheng Ching Hospital
303,港區藝術中心-新民高中,35,中港新城,120.6195602,24.18121338,去程,Zhonggang New Community
303,港區藝術中心-新民高中,36,福安,120.62337,24.179203,去程,Fu-an
303,港區藝術中心-新民高中,37,秋紅谷,120.639691,24.168639,去程,Maple Valley Park
303,港區藝術中心-新民高中,38,新光/遠百,120.643356,24.165829,去程,Shin Kong Mitsukoshi/Top City Dept. Store
303,港區藝術中心-新民高中,39,市政府,120.6492,24.1629,去程,Taichung City Hall
303,港區藝術中心-新民高中,40,頂何厝,120.655864,24.159149,去程,Dinghecuo
303,港區藝術中心-新民高中,41,忠明國小,120.659237,24.157285,去程,Chungming Elementary School
303,港區藝術中心-新民高中,42,科博館,120.663188,24.155167,去程,National Museum of Natural Science
303,港區藝術中心-新民高中,43,中正國小,120.667208,24.152746,去程,Chung-Cheng Elementary School
303,港區藝術中心-新民高中,44,茄苳腳,120.671574,24.149241,去程,Qiedongjiao
303,港區藝術中心-新民高中,45,臺灣大道原子街口,120.6748259,24.14662632,去程,Taiwan Boulevard-Yuanzi Intersection
303,港區藝術中心-新民高中,46,臺灣大道中華路口,120.67695,24.144738,去程,Taiwan Boulevard-Zhonghua Intersection
303,港區藝術中心-新民高中,47,仁愛醫院,120.678216,24.143662,去程,Ren-Ai Hospital
303,港區藝術中心-新民高中,48,第二市場(臺灣大道),120.680085,24.14197833,去程,2nd Market (Taiwan Boulevard)
303,港區藝術中心-新民高中,49,彰化銀行(臺灣大道),120.6824541,24.14000806,去程,Chang Hwa Bank (Taiwan Boulevard)
303,港區藝術中心-新民高中,50,第一廣場,120.6836772,24.13878423,去程,First Square
303,港區藝術中心-新民高中,51,干城站,120.68592,24.140762,去程,Gancheng Station
303,港區藝術中心-新民高中,52,臺中公園(雙十路),120.6861556,24.14417878,去程,Taichung Park (Shuangshi Rd.)
303,港區藝術中心-新民高中,53,中興堂,120.684481,24.146258,去程,Chunghsing Hall
303,港區藝術中心-新民高中,54,國立臺中科技大學,120.6839132,24.14939689,去程,NTCUST
303,港區藝術中心-新民高中,55,中友百貨,120.6851685,24.15222613,去程,Chungyo Department Store
303,港區藝術中心-新民高中,56,市立殯儀館,120.6855011,24.15656287,去程,City Funeral Home
303,港區藝術中心-新民高中,57,新民高中(健行路),120.6873572,24.15897102,去程,Shin-min H.S. (Jianxing Rd.)
303,港區藝術中心-新民高中,1,新民高中(健行路),120.6873572,24.15897102,回程,Shin-min H.S. (Jianxing Rd.)
303,港區藝術中心-新民高中,2,寶覺寺,120.6898248,24.15795294,回程,Baojue Temple
303,港區藝術中心-新民高中,3,新民高中(三民路),120.6884086,24.15682718,回程,Shin-min H.S. (Sanmin Rd.)
303,港區藝術中心-新民高中,4,一心市場,120.68573,24.15389,回程,Yixin Market
303,港區藝術中心-新民高中,5,中友百貨,120.684835,24.151767,回程,Chungyo Department Store
303,港區藝術中心-新民高中,6,國立臺中科技大學,120.6839132,24.14939689,回程,NTCUST
